title,director,score
沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,8.9
功夫,导演: 周星驰 Stephen Chow,8.8
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,8.9
禁闭岛,导演: Martin Scorsese,8.9
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,8.9
哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón,9.0
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,8.9
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,8.9
超脱,导演: 托尼·凯耶 Tony Kaye,9.0
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,8.9
摩登时代,导演: 查理·卓别林 Charles Chaplin,9.3
海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,9.3
春光乍泄,导演: 王家卫 Kar Wai Wong,9.0
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,8.8
美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,9.2
致命ID,导演: 詹姆斯·曼高德 James Mangold,8.9
杀人回忆,导演: 奉俊昊 Joon-ho Bong,8.9
哈利·波特与密室,导演: Chris Columbus,8.9
红辣椒,导演: 今敏 Satoshi Kon,9.1
七宗罪,导演: 大卫·芬奇 David Fincher,8.8
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,8.8
一一,导演: 杨德昌 Edward Yang,9.1
狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,9.1
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee,8.7
title,director,score
7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,8.9
被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,8.9
蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan,8.9
爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater,8.8
请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,8.8
甜蜜蜜,导演: 陈可辛 Peter Chan,8.9
断背山,导演: 李安 Ang Lee,8.8
剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,8.7
入殓师,导演: 泷田洋二郎 Yôjirô Takita,8.9
第六感,导演: M·奈特·沙马兰 M. Night Shyamalan,8.9
重庆森林,导演: 王家卫 Kar Wai Wong,8.8
超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,8.7
勇敢的心,导演: 梅尔·吉布森 Mel Gibson,8.9
爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater,8.9
幽灵公主,导演: 宫崎骏 Hayao Miyazaki,8.9
菊次郎的夏天,导演: 北野武 Takeshi Kitano,8.9
寄生虫,导演: 奉俊昊 Joon-ho Bong,8.8
借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,8.9
消失的爱人,导演: 大卫·芬奇 David Fincher,8.7
无人知晓,导演: 是枝裕和 Hirokazu Koreeda,9.1
阳光灿烂的日子,导演: 姜文 Wen Jiang,8.8
完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,9.1
天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,8.7
倩女幽魂,导演: 程小东 Siu-Tung Ching,8.8
时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis,8.8
title,director,score
小森林 夏秋篇,导演: 森淳一 Junichi Mori,9.0
未麻的部屋,导演: 今敏 Satoshi Kon,9.1
哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,8.8
侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo,8.9
驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,8.8
幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,8.8
一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,8.9
怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,8.8
教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,9.0
小森林 冬春篇,导演: 森淳一 Junichi Mori,9.0
玩具总动员3,导演: 李·昂克里奇 Lee Unkrich,8.9
傲慢与偏见,导演: 乔·怀特 Joe Wright,8.7
新世界,导演: 朴勋政 Hoon-jung Park,8.9
茶馆,导演: 谢添 Tian Xie,9.6
萤火之森,导演: 大森贵弘 Takahiro Omori,8.9
釜山行,导演: 延尚昊 Sang-ho Yeon,8.6
被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,8.8
神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,8.7
色，戒,导演: 李安 Ang Lee,8.7
告白,导演: 中岛哲也 Tetsuya Nakashima,8.8
哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,9.2
玛丽和马克思,导演: 亚当·艾略特 Adam Elliot,9.0
九品芝麻官,导演: 王晶 Jing Wong,8.7
大鱼,导演: 蒂姆·波顿 Tim Burton,8.8
喜宴,导演: 李安 Ang Lee,9.0
title,director,score
模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,8.8
头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,8.6
花样年华,导演: 王家卫 Kar Wai Wong,8.8
头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,8.8
射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau,8.7
我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,9.0
七武士,导演: 黑泽明 Akira Kurosawa,9.3
阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang,8.8
血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,8.7
惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,9.0
恐怖直播,导演: 金秉祐 Byeong-woo Kim,8.7
